mean,std,variance,rms,peak_to_peak,skewness,kurtosis,crest_factor,dominant_freq,dominant_amp,spectral_centroid,spectral_energy,spectral_entropy,bandpower_total,label
3.469446951953614e-17,0.9999999999953677,0.9999999999907354,0.9999999999953677,3.85480140782781,-0.07859471437626238,-1.3375947114771485,2.036647944819371,46.875,628.3491504559305,2071.9582299227063,524291.8537538088,1.9221696008448825,1022.011410826138,healthy
0.0,0.9999999999953351,0.9999999999906701,0.9999999999953351,3.99225060784773,-0.11145598504219226,-1.3396180381502707,2.0567555635343755,46.875,625.1913029022793,2079.9672080147434,524295.1118097345,1.9783989411120473,1022.0177618123479,healthy
-1.3877787807814457e-17,0.9999999999953553,0.9999999999907107,0.9999999999953553,3.997083390860239,-0.06541279627640818,-1.338053203700051,2.1440411147033274,46.875,629.6878298194529,2104.995609553158,524303.5030019106,1.9135895479366831,1022.0341189121065,healthy
0.0,0.9999999999953869,0.9999999999907739,0.9999999999953869,3.7803508242002266,-0.11649160486904352,-1.3208741838808968,1.980547930736693,46.875,631.6666504646101,2111.7455174567167,524289.2298654171,1.903564591336829,1022.0062960339515,healthy
-3.2959746043559335e-17,0.9999999999953971,0.9999999999907943,0.9999999999953971,3.9410799972767685,-0.10016078167484767,-1.32267388287051,2.0236203674297166,46.875,629.5896391439155,2072.7371472017867,524289.1898123954,1.9129806622184253,1022.0062179578857,healthy
1.734723475976807e-17,0.9999999999953583,0.9999999999907165,0.9999999999953583,3.884997721637002,-0.08385903846799803,-1.3422974319963585,1.964549356686365,46.875,624.9447450692102,2104.3381110310966,524314.4497133972,1.9815161177961773,1022.0554575309886,healthy
4.5102810375396984e-17,0.9999999999953622,0.9999999999907243,0.9999999999953622,3.8963333602592396,-0.10985263216296802,-1.3258138162573434,1.9813661591804226,46.875,626.9445469633715,2132.7077314014896,524290.5501674062,1.987222915613034,1022.0088697220394,healthy
-6.938893903907228e-18,0.9999999999954657,0.9999999999909316,0.9999999999954657,4.0125942724202766,-0.07941747411481079,-1.3495779547428364,2.014864137623185,46.875,629.023785916446,2087.7002771483826,524309.0834231155,1.94672678378024,1022.0449969261512,healthy
-5.204170427930421e-18,0.9999999999954167,0.9999999999908334,0.9999999999954167,4.083838400705617,-0.0810663177080624,-1.3225413969169528,2.0768046751059646,46.875,625.7718002552884,2070.4272449617215,524289.1947552325,1.921478976399665,1022.0062275930459,healthy
2.2551405187698492e-17,0.9999999999953999,0.9999999999907998,0.9999999999953999,3.815742911638229,-0.07672737499282982,-1.3534766524500144,1.9983013761527006,46.875,625.3430961459522,2084.170330300364,524293.8533565294,1.9407043704155755,1022.0153086871918,healthy
2.7755575615628914e-17,0.9999999999954163,0.9999999999908328,0.9999999999954163,3.679094122696159,-0.07915036926286027,-1.3485940860019716,1.9131599172840268,46.875,627.097364575239,2057.19134239732,524289.1686095287,1.89966991666922,1022.0061766267615,healthy
-1.5612511283791264e-17,0.9999999999954541,0.9999999999909082,0.9999999999954541,4.036926777296732,-0.10689537126488256,-1.3304327969259624,2.0546590248035583,46.875,629.636925155643,2069.2628465438306,524300.2735647381,1.886314131633124,1022.0278237129397,healthy
3.469446951953614e-18,0.999999999995419,0.9999999999908381,0.999999999995419,3.832437123263775,-0.07617099421885382,-1.34682380369482,1.9816180489730237,46.875,625.7687281594358,2099.0334137871855,524290.6366988636,1.9218025655773763,1022.0090383993443,healthy
